Product,Quantity,Description,Total cost (USD),Supplier,Link
100nF Capacitors,26,100nF 0805 ceramic capacitors for PCB,2.31,Aliexpress,https://www.aliexpress.com/item/1005011894977575.html?spm=a2g0o.productlist.main.41.69b475e66t3VJX&algo_pvid=395ae593-2082-45a5-ad42-2ee72ec24400&algo_exp_id=395ae593-2082-45a5-ad42-2ee72ec24400-38&pdp_ext_f=%7B%22order%22%3A%2264%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%210.98%210.74%21%21%210.69%210.52%21%402101e2b017803787116784136eb256%2112000056926137114%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=lO0BHaX0NqCM&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011894977575%7C_p_origin_prod%3A
100uF - Low ESR Cap,6,50V 100uF Low ESR caps in 6.3x7.7 package. Used for Vm on TMC2209,3.69,Aliexpress,https://www.aliexpress.com/item/1005006846973435.html
2.2uF cap,6,0805 2.2uF 50V ceramic capacitors,2.2,Aliexpress,https://www.aliexpress.com/item/1005007293718666.html?spm=a2g0o.productlist.main.8.67be145epeTiPJ&algo_pvid=53e6a399-9eba-48a6-b5d2-d96bd9cce18e&aem_p4p_detail=20260601225849174814213877420004833943&algo_exp_id=53e6a399-9eba-48a6-b5d2-d96bd9cce18e-7&pdp_ext_f=%7B%22order%22%3A%221222%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%212.85%212.85%21%21%2113.59%2113.59%21%402103128917803799289523918ea094%2112000040093563143%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=OS4dkcks5GAl&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007293718666%7C_p_origin_prod%3A&search_p4p_id=20260601225849174814213877420004833943_2
22nF cap,4,0805 22nF 50V ca-,2.2,Aliexpress,https://www.aliexpress.com/item/1005011894977575.html?spm=a2g0o.productlist.main.41.69b475e66t3VJX&algo_pvid=395ae593-2082-45a5-ad42-2ee72ec24400&algo_exp_id=395ae593-2082-45a5-ad42-2ee72ec24400-38&pdp_ext_f=%7B%22order%22%3A%2264%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%210.98%210.74%21%21%210.69%210.52%21%402101e2b017803787116784136eb256%2112000056926137114%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=lO0BHaX0NqCM&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011894977575%7C_p_origin_prod%3A
1uF cap,4,0805 1uF 50V capacitor,2.04,Aliexpress,https://www.aliexpress.com/item/1005007293718666.html?spm=a2g0o.productlist.main.8.67be145epeTiPJ&algo_pvid=53e6a399-9eba-48a6-b5d2-d96bd9cce18e&aem_p4p_detail=20260601225849174814213877420004833943&algo_exp_id=53e6a399-9eba-48a6-b5d2-d96bd9cce18e-7&pdp_ext_f=%7B%22order%22%3A%221222%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%212.85%212.85%21%21%2113.59%2113.59%21%402103128917803799289523918ea094%2112000040093563143%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=OS4dkcks5GAl&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007293718666%7C_p_origin_prod%3A&search_p4p_id=20260601225849174814213877420004833943_2
18pF cap,2,0805 18pF cap for crystal,2.52,Aliexpress,https://www.aliexpress.com/item/1005002958706092.html?spm=a2g0o.productlist.main.1.3511QjeLQjeLPI&algo_pvid=3a26b9ba-d000-4d83-9a75-3d450696f550&algo_exp_id=3a26b9ba-d000-4d83-9a75-3d450696f550-0&pdp_ext_f=%7B%22order%22%3A%22135%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%211.79%211.79%21%21%211.26%211.26%21%4021030a4b17807228650825953eb029%2112000022968072311%21sea%21AU%217099856219%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=HO0lalvIulA4&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002958706092%7C_p_origin_prod%3A
22uF cap,4,0805 22uF 50V capacitor,2.86,Aliexpress,https://www.aliexpress.com/item/1005007293718666.html?spm=a2g0o.productlist.main.8.67be145epeTiPJ&algo_pvid=53e6a399-9eba-48a6-b5d2-d96bd9cce18e&aem_p4p_detail=20260601225849174814213877420004833943&algo_exp_id=53e6a399-9eba-48a6-b5d2-d96bd9cce18e-7&pdp_ext_f=%7B%22order%22%3A%221222%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%212.85%212.85%21%21%2113.59%2113.59%21%402103128917803799289523918ea094%2112000040093563143%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=OS4dkcks5GAl&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007293718666%7C_p_origin_prod%3A&search_p4p_id=20260601225849174814213877420004833943_2
10uF cap,6,0805 10uF cap,2.54,Aliexpress,https://www.aliexpress.com/item/1005007293718666.html?spm=a2g0o.productlist.main.8.67be145epeTiPJ&algo_pvid=53e6a399-9eba-48a6-b5d2-d96bd9cce18e&aem_p4p_detail=20260601225849174814213877420004833943&algo_exp_id=53e6a399-9eba-48a6-b5d2-d96bd9cce18e-7&pdp_ext_f=%7B%22order%22%3A%221222%22%2C%22spu_best_type%22%3A%22price%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%212.85%212.85%21%21%2113.59%2113.59%21%402103128917803799289523918ea094%2112000040093563143%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=OS4dkcks5GAl&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005007293718666%7C_p_origin_prod%3A&search_p4p_id=20260601225849174814213877420004833943_2
220pF cap,1,0805 220pF 50V cap,4.04,Aliexpress,https://www.aliexpress.com/item/1005011884524334.html?spm=a2g0o.productlist.main.8.50ab6ab5yWojEX&algo_pvid=5edf1c78-ef25-4421-bfb1-3e1d6e4784bc&algo_exp_id=5edf1c78-ef25-4421-bfb1-3e1d6e4784bc-7&pdp_ext_f=%7B%22order%22%3A%2235%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%213.81%211.79%21%21%2118.11%218.51%21%40210328d417806369446965838ef751%2112000056880413140%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=1xTiDLuHV5Su&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005011884524334%7C_p_origin_prod%3A
SS34 diode,1,SS34 SMA Schottky diode,2.89,Aliexpress,https://www.aliexpress.com/item/1005003929814084.html?spm=a2g0o.productlist.main.1.7ba564e91Bl9Po&algo_pvid=39ff2f7f-65b5-4324-9e76-e1229462bde4&algo_exp_id=39ff2f7f-65b5-4324-9e76-e1229462bde4-0&pdp_ext_f=%7B%22order%22%3A%22312%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%213.94%211.41%21%21%212.76%210.98%21%402101ef5e17806371422707336ed5cd%2112000027492300397%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895%3BpisId%3A5000000204867275&curPageLogUid=NnPur3r1YfyF&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003929814084%7C_p_origin_prod%3A
Ferrite bead,1,0805 600R 100mhz ferrite bead,3.93,Aliexpress,https://www.aliexpress.com/item/1005003127666910.html?spm=a2g0o.productlist.main.37.ba11ISfCISfCeO&algo_pvid=b19fe644-ee9e-45ce-8c38-43ce983eb4d3&algo_exp_id=b19fe644-ee9e-45ce-8c38-43ce983eb4d3-34&pdp_ext_f=%7B%22order%22%3A%2225%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%215.52%214.72%21%21%213.87%213.31%21%40210337c117807205436898267e16f1%2112000024246365910%21sea%21AU%217099856219%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=ES5AkXMpY2mV&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005003127666910%7C_p_origin_prod%3A
IDC header,2,2x5 pin 2.54mm IDC header for EXP1/2,4.77,Aliexpress,https://www.aliexpress.com/item/32658384492.html?spm=a2g0o.productlist.main.1.219e2670Eo0Se8&algo_pvid=fe8eff41-56a5-4592-8ccd-295c5888be36&algo_exp_id=fe8eff41-56a5-4592-8ccd-295c5888be36-0&pdp_ext_f=%7B%22order%22%3A%22191%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21AUD%213.22%211.15%21%21%212.26%210.81%21%402101eecd17806372074926845e0b1c%2159817550672%21sea%21AU%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3A6fbdfe4b%3Bm03_new_user%3A-29895&curPageLogUid=g4IB6NhYXd4C&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32658384492%7C_p_origin_prod%3A
